,molecule,basis,bound 1 (sum over states),bound 2 (subspace invariant),exact
0,H,6-31g,-0.21364792027799964,-0.19626881126000228,-1.1102230246251565e-16
1,H (large basis set),aug-cc-pvtz,-0.10925243042515029,-0.08282374406955428,-2.636779683484747e-16
2,H$_2^+$,6-31g,-0.20436507754595318,-0.17750389776219078,6.661338147750939e-16
3,H$_2$,6-31g,-0.02395743326561564,-0.012915007798682154,0.5364419500334418
4,Li,6-31g,0.5359501811024493,0.5503831805299306,2.203327273726294
5,LiH,6-31g,1.2267899754392975,1.2349054167417153,3.145188968978128
6,water,sto-3g,28.633169425679412,28.62806055147986,38.11932239152732
7,O$_2$,sto-3g,67.42396407165657,67.42203606817127,84.65883501646748
8,NO,sto-3g,57.45008655993023,57.44786856563197,72.82663743155155
9,He,6-31g,-0.08532923764486607,-0.06034848579307894,0.9596912982639495
10,Ne,6-31g,40.424290038417965,40.42621382664143,53.18682942100071
